item,text
ethRT_1,Taking some questionable deductions on your income tax return.
ethRT_2,Having an affair with a married man/woman.
ethRT_3,Passing off somebody else's work as your own.
ethRT_4,Revealing a friend's secret to someone else.
ethRT_5,Leaving your young children alone at home while running an errand.
ethRT_6,Not returning a wallet you found that contains $200.
finRT_1,Betting a day's income at the horse races.
finRT_2,Investing 10% of your annual income in a moderate growth diversified fund.
finRT_3,Betting a day's income at a high-stakes poker game.
finRT_4,Investing 5% of your annual income in a very speculative stock.
finRT_5,Betting a day's income on the outcome of a sporting event.
finRT_6,Investing 10% of your annual income in a new business venture.
heaRT_1,Drinking heavily at a social function.
heaRT_2,Engaging in unprotected sex.
heaRT_3,Driving a car without wearing a seat belt.
heaRT_4,Riding a motorcycle without a helmet.
heaRT_5,Sunbathing without sunscreen.
heaRT_6,Walking home alone at night in an unsafe area of town.
recRT_1,Going camping in the wilderness.
recRT_2,Going down a ski run that is beyond your ability.
recRT_3,Going whitewater rafting at high water in the spring.
recRT_4,Taking a skydiving class.
recRT_5,Bungee jumping off a tall bridge.
recRT_6,Piloting a small plane.
socRT_1,Admitting that your tastes are different from those of a friend.
socRT_2,Disagreeing with an authority figure on a major issue.
socRT_3,Choosing a career that you truly enjoy over a more prestigious one.
socRT_4,Speaking your mind about an unpopular issue in a meeting at work.
socRT_5,Moving to a city far away from your extended family.
socRT_6,Starting a new career in your mid-thirties.
